time,open,high,low,close
1770854400,67025.5546875,67025.5546875,67025.5546875,67025.5546875
1770854460,67032.2890625,67032.2890625,67032.2890625,67032.2890625
1770854520,67105.0,67105.0,67105.0,67105.0
1770854580,67140.5859375,67140.5859375,67140.5859375,67140.5859375
1770854640,67090.2890625,67090.2890625,67090.2890625,67090.2890625
1770854700,67055.0703125,67055.0703125,67055.0703125,67055.0703125
1770854760,67166.6015625,67166.6015625,67166.6015625,67166.6015625
1770854820,67148.796875,67148.796875,67148.796875,67148.796875
1770854880,67170.1796875,67170.1796875,67170.1796875,67170.1796875
1770854940,67222.7890625,67222.7890625,67222.7890625,67222.7890625
1770855000,67285.4296875,67285.4296875,67285.4296875,67285.4296875
1770855060,67297.3671875,67297.3671875,67297.3671875,67297.3671875
1770855120,67308.609375,67308.609375,67308.609375,67308.609375
1770855180,67296.3359375,67296.3359375,67296.3359375,67296.3359375
1770855240,67290.9921875,67290.9921875,67290.9921875,67290.9921875
1770855300,67319.765625,67319.765625,67319.765625,67319.765625
1770855360,67317.109375,67317.109375,67317.109375,67317.109375
1770855420,67347.5078125,67347.5078125,67347.5078125,67347.5078125
1770855480,67331.9453125,67331.9453125,67331.9453125,67331.9453125
1770855540,67348.7890625,67348.7890625,67348.7890625,67348.7890625
1770855600,67337.0234375,67337.0234375,67337.0234375,67337.0234375
1770855660,67325.59375,67325.59375,67325.59375,67325.59375
1770855720,67307.484375,67307.484375,67307.484375,67307.484375
1770855840,67288.0078125,67288.0078125,67288.0078125,67288.0078125
1770855900,67328.8203125,67328.8203125,67328.8203125,67328.8203125
1770856020,67433.1640625,67433.1640625,67433.1640625,67433.1640625
1770856080,67333.71875,67333.71875,67333.71875,67333.71875
1770856140,67348.75,67348.75,67348.75,67348.75
1770856200,67362.75,67362.75,67362.75,67362.75
1770856260,67368.6328125,67368.6328125,67368.6328125,67368.6328125
1770856320,67396.40625,67396.40625,67396.40625,67396.40625
1770856380,67393.5546875,67393.5546875,67393.5546875,67393.5546875
1770856440,67431.3203125,67431.3203125,67431.3203125,67431.3203125
1770856500,67420.4296875,67420.4296875,67420.4296875,67420.4296875
1770856560,67552.296875,67552.296875,67552.296875,67552.296875
1770856620,67537.265625,67537.265625,67537.265625,67537.265625
1770856680,67621.8828125,67621.8828125,67621.8828125,67621.8828125
1770856740,67551.078125,67551.078125,67551.078125,67551.078125
1770856800,67480.296875,67480.296875,67480.296875,67480.296875
1770856860,67494.9765625,67494.9765625,67494.9765625,67494.9765625
1770856920,67486.046875,67486.046875,67486.046875,67486.046875
1770856980,67502.671875,67502.671875,67502.671875,67502.671875
1770857040,67519.2890625,67519.2890625,67519.2890625,67519.2890625
1770857100,67527.3828125,67527.3828125,67527.3828125,67527.3828125
1770857160,67604.8828125,67604.8828125,67604.8828125,67604.8828125
1770857220,67577.65625,67577.65625,67577.65625,67577.65625
1770857280,67536.2265625,67536.2265625,67536.2265625,67536.2265625
1770857340,67495.4296875,67495.4296875,67495.4296875,67495.4296875
