time,open,high,low,close
1756805400,6469.27,6476.76,6465.31,6472.1
1756805700,6478.99,6490.18,6477.71,6484.5
1756806000,6481.44,6495.01,6477.15,6477.37
1756806300,6497.5,6499.79,6491.37,6498.18
1756806600,6493.02,6503.68,6486.58,6494.65
1756806900,6503.09,6508.25,6493.56,6505.87
1756807200,6501.52,6509.24,6490.23,6501.11
1756807500,6492.46,6495.4,6490.92,6492.09
1756807800,6494.4,6497.23,6488.7,6489.85
1756808100,6503.48,6515.86,6498.49,6506.97
1756808400,6503.48,6504.39,6494.55,6495.36
1756808700,6503.48,6509.56,6496.03,6506.98
1756809000,6503.48,6506.25,6502.74,6502.94
1756809300,6502.15,6507.72,6496.93,6498.02
1756809600,6501.24,6505.7,6490.54,6499.03
1756809900,6503.48,6507.54,6500.9,6506.34
1756810200,6488.71,6493.07,6471.09,6483.7
1756810500,6487.53,6499.68,6473.07,6473.9
1756810800,6478.45,6482.11,6474.17,6474.22
1756811100,6473.74,6480.09,6461.83,6468.17
1756811400,6473.85,6476.57,6467.39,6474.16
1756811700,6482.94,6485.15,6474.02,6480.47
1756812000,6486.32,6493.25,6477.44,6478.28
1756812300,6501.71,6503.42,6496.32,6501.89
1756812600,6487.32,6497.74,6482.01,6491.07
1756812900,6476.84,6481.29,6468.17,6477.81
1756813200,6485.39,6505.63,6473.62,6484.43
1756813500,6487.01,6492.37,6472.29,6482.37
1756813800,6503.15,6513.36,6494.74,6503.74
1756814100,6493.27,6498.88,6491.11,6497.24
1756814400,6499.18,6501.67,6493.06,6500.43
1756814700,6481.05,6486.37,6477.85,6478.62
1756815000,6463.59,6476.69,6461.28,6468.41
1756815300,6460.61,6470.52,6450.14,6459.05
1756815600,6463.64,6468.46,6456.59,6467.37
1756815900,6464.46,6475.77,6457.8,6472.17
1756816200,6439.7,6447.13,6436.98,6446.43
1756816500,6447.1,6457.88,6442.95,6456.25
1756816800,6443.95,6451.6,6440.97,6441.74
1756817100,6442.21,6443.83,6438.78,6440.2
1756817400,6447.27,6461.68,6442.45,6446.78
1756817700,6450.9,6452.02,6438.63,6444.01
1756818000,6458.53,6470.08,6444.47,6466.69
1756818300,6461.83,6473.79,6457.51,6460.08
1756818600,6476.45,6486.27,6465.1,6473.8
1756818900,6467.22,6473.01,6456.19,6460.09
1756819200,6481.7,6509.13,6474.01,6492.93
1756819500,6484.51,6486.8,6483.12,6485.87
1756819800,6484.64,6497.8,6473.3,6492.9
1756820100,6474.65,6484.45,6456.4,6478.47
1756820400,6451.4,6452.64,6442.68,6451.69
1756820700,6446.18,6451.72,6442.99,6446.79
1756821000,6436.56,6439.97,6434.29,6435.71
1756821300,6424.43,6432.94,6422.35,6428.13
1756821600,6429.84,6434.42,6419.81,6424.97
1756821900,6423.85,6432.15,6423.24,6425.05
1756822200,6421.0,6428.59,6416.46,6421.82
1756822500,6424.77,6425.76,6420.7,6423.31
1756822800,6442.07,6450.62,6426.23,6432.11
1756823100,6423.87,6432.5,6416.82,6430.31
1756823400,6428.61,6439.23,6423.43,6426.68
1756823700,6444.15,6461.35,6436.62,6454.25
1756824000,6475.49,6479.48,6460.78,6468.2
1756824300,6474.81,6476.71,6465.42,6468.0
1756824600,6477.29,6477.82,6466.25,6476.52
1756824900,6468.24,6475.46,6458.77,6464.36
1756825200,6476.21,6481.45,6476.02,6476.51
1756825500,6471.28,6473.34,6470.45,6470.64
1756825800,6484.18,6488.54,6479.75,6487.65
1756826100,6469.17,6469.35,6466.26,6467.55
1756826400,6466.18,6473.06,6459.8,6470.56
1756826700,6460.43,6470.05,6451.84,6464.23
1756827000,6447.99,6463.5,6439.27,6456.31
1756827300,6454.52,6465.03,6451.81,6459.78
1756827600,6443.91,6446.42,6439.34,6441.76
1756827900,6445.0,6453.66,6432.7,6448.21
1756828200,6434.46,6435.29,6421.39,6422.12
1756828500,6433.36,6439.48,6425.92,6428.43
1756828800,6440.61,6449.82,6431.43,6443.52
1756891800,6448.24,6452.28,6448.03,6449.66
1756892100,6451.28,6453.53,6450.17,6450.86
1756892400,6453.88,6454.85,6449.37,6453.25
1756892700,6443.09,6444.94,6441.96,6442.42
1756893000,6442.97,6449.77,6437.33,6445.79
1756893300,6447.25,6448.19,6441.64,6445.11
1756893600,6443.91,6443.93,6440.83,6441.2
1756893900,6437.42,6441.24,6436.24,6440.63
1756894200,6433.23,6433.71,6429.46,6431.87
1756894500,6431.12,6434.32,6429.89,6430.95
1756894800,6434.25,6434.76,6433.63,6434.02
1756895100,6435.46,6437.09,6430.75,6436.21
1756895400,6441.52,6443.76,6437.5,6440.83
1756895700,6446.65,6447.26,6445.01,6446.87
1756896000,6449.7,6452.07,6447.1,6447.53
