time,open,high,low,close
1770872880,6982.0,6982.5,6981.75,6982.25
1770873000,6982.5,6982.75,6981.5,6982.0
1770873120,6981.75,6982.5,6981.75,6982.25
1770873240,6982.25,6982.75,6982.25,6982.5
1770873360,6982.5,6982.75,6982.25,6982.75
1770873480,6982.75,6984.25,6982.5,6983.25
1770873600,6983.25,6984.25,6983.0,6983.75
1770873720,6983.75,6983.75,6982.25,6982.25
1770873840,6982.5,6982.75,6982.0,6982.25
1770873960,6982.5,6982.75,6981.75,6981.75
1770874080,6981.75,6982.25,6981.75,6982.0
1770874200,6981.75,6982.0,6981.0,6981.75
1770874320,6981.5,6981.75,6981.25,6981.5
1770874440,6981.25,6981.5,6980.75,6980.75
1770874560,6981.0,6981.5,6981.0,6981.25
1770874680,6981.0,6981.25,6980.5,6980.75
1770874800,6980.75,6982.25,6980.75,6982.25
1770874920,6982.5,6983.5,6982.25,6982.25
1770875040,6982.25,6982.25,6981.75,6982.25
1770875160,6982.0,6982.75,6982.0,6982.25
1770875280,6982.25,6982.75,6982.25,6982.5
1770875400,6982.5,6982.75,6982.0,6982.5
1770875520,6982.75,6982.75,6981.0,6981.25
1770875640,6981.5,6982.75,6981.25,6982.5
1770875760,6982.25,6982.5,6981.25,6981.5
1770875880,6981.25,6982.25,6980.75,6982.25
1770876000,6982.25,6982.75,6981.5,6981.5
1770876120,6981.5,6981.5,6979.75,6980.0
1770876240,6980.25,6980.25,6979.0,6980.0
1770876360,6980.0,6980.0,6978.75,6979.0
1770876480,6979.0,6979.5,6979.0,6979.5
1770876600,6979.5,6980.25,6979.5,6979.75
1770876720,6979.75,6982.25,6979.75,6982.0
1770876840,6982.0,6983.0,6981.25,6981.75
1770876960,6982.0,6982.75,6980.5,6980.5
1770877080,6980.5,6980.75,6978.75,6979.0
1770877200,6979.0,6979.0,6977.25,6977.75
1770877320,6978.0,6978.5,6977.0,6977.5
1770877440,6977.5,6979.5,6977.5,6978.75
1770877560,6978.75,6979.0,6978.25,6978.25
1770877680,6978.25,6979.75,6978.0,6978.75
1770877800,6978.75,6981.0,6975.5,6977.0
1770877920,6977.0,6977.75,6975.75,6975.75
1770878040,6976.0,6976.0,6973.25,6974.0
1770878160,6974.25,6975.75,6974.25,6974.5
1770878280,6974.5,6975.25,6973.75,6974.75
1770878400,6974.75,6974.75,6973.75,6974.0
1770878520,6974.0,6974.0,6972.5,6973.25
1770878640,6973.5,6974.5,6972.75,6974.25
1770878760,6974.25,6974.5,6972.75,6973.5
1770878880,6973.5,6975.25,6973.5,6975.25
1770879000,6975.25,6975.5,6974.5,6975.0
1770879120,6975.25,6976.25,6975.0,6975.5
1770879240,6975.75,6975.75,6975.0,6975.75
1770879360,6975.75,6976.5,6975.25,6976.5
1770879480,6976.5,6977.0,6975.5,6976.5
1770879600,6976.5,6978.25,6976.0,6976.25
1770879720,6976.25,6977.75,6975.5,6977.5
1770879840,6977.5,6979.75,6977.5,6979.25
1770879960,6979.25,6979.5,6977.5,6977.75
1770880080,6977.75,6978.0,6976.75,6977.25
1770880200,6977.25,6977.5,6977.0,6977.25
1770880320,6977.0,6978.25,6977.0,6978.25
1770880440,6978.5,6979.0,6977.75,6978.25
1770880560,6978.25,6979.5,6978.25,6979.0
1770880680,6979.0,6979.5,6978.5,6979.0
1770880800,6979.0,6979.5,6978.0,6978.25
1770880920,6978.5,6980.0,6978.5,6979.25
1770881040,6979.5,6982.75,6979.5,6982.0
1770881160,6982.0,6982.25,6980.75,6980.75
1770881280,6980.75,6981.75,6980.75,6981.25
1770881400,6981.5,6982.25,6981.25,6981.25
1770881520,6981.25,6982.0,6980.75,6982.0
1770881640,6982.0,6982.25,6981.25,6982.0
1770881760,6982.25,6982.5,6981.5,6982.0
1770881880,6981.75,6983.0,6981.75,6982.0
1770882000,6982.0,6982.25,6981.25,6982.0
1770882120,6982.25,6982.75,6981.5,6981.5
1770882240,6981.25,6981.5,6980.5,6980.5
1770882360,6980.5,6980.75,6979.5,6980.25
1770882480,6980.25,6981.5,6980.0,6981.5
1770882600,6981.5,6981.5,6980.75,6981.0
1770882720,6980.75,6981.0,6980.0,6980.25
1770882840,6980.5,6981.0,6980.25,6980.75
1770882960,6981.0,6982.25,6981.0,6982.0
1770883080,6981.75,6982.25,6981.25,6981.75
1770883200,6981.75,6984.75,6981.75,6983.5
1770883320,6983.5,6983.75,6981.75,6983.0
1770883440,6983.25,6983.5,6981.25,6981.5
1770883560,6981.5,6984.0,6981.0,6984.0
1770883680,6984.0,6985.0,6982.5,6983.5
1770883800,6983.5,6984.5,6981.0,6982.0
1770883920,6982.25,6982.25,6979.0,6979.75
1770884040,6979.75,6983.25,6979.75,6982.0
1770884160,6982.0,6982.5,6981.0,6981.75
1770884280,6981.75,6982.75,6981.5,6982.0
1770884400,6982.0,6982.5,6979.25,6979.75
1770884520,6979.75,6980.5,6979.25,6980.0
1770884640,6979.75,6980.0,6978.5,6979.0
1770884760,6979.0,6981.25,6978.5,6979.0
1770884880,6978.75,6979.5,6978.0,6979.0
1770885000,6979.0,6980.25,6977.25,6977.25
1770885120,6977.25,6977.5,6975.75,6976.5
1770885240,6976.25,6977.5,6975.5,6977.25
1770885360,6977.25,6977.5,6975.25,6975.75
1770885480,6976.0,6976.75,6974.75,6975.25
1770885600,6975.25,6977.25,6975.0,6977.0
1770885720,6977.0,6977.75,6976.5,6976.75
1770885840,6977.0,6978.0,6976.0,6977.75
1770885960,6977.75,6978.5,6976.5,6978.25
1770886080,6978.25,6978.75,6977.25,6977.5
1770886200,6977.25,6977.75,6977.0,6977.25
1770886320,6977.25,6980.25,6977.25,6980.25
1770886440,6980.25,6980.75,6979.0,6980.0
1770886560,6980.0,6983.0,6979.75,6983.0
