time,open,high,low,close,EMA,EMA,S1,R1,RSI Cloud Lead,RSI Cloud Base,RSI Overbought ,Signal RSI Overbought,RSI Oversold,Signal RSI Oversold,Baseline,Cloud Flip Bullish,Cloud Flip Bearish,RSI
1757570400,23885,23895.5,23878.25,23894.25,23893.470109319784,23891.424050645626,24041,23785,46.445894861080745,47.57905581587833,70,75,30,25,50,,,49.28740145821464
1757571300,23894.75,23907.5,23891,23905.5,23895.074094743813,23894.2392405165,24041,23785,53.80625499078655,48.533540272702766,70,75,30,25,50,,,54.737689242061634
1757572200,23905,23923.25,23904,23915,23897.730882111304,23898.3913924132,24041,23785,60.72691706324554,49.89808441154923,70,75,30,25,50,,,58.767621314051205
1757573100,23914.75,23919.5,23911.75,23917.75,23900.400097829795,23902.26311393056,24041,23785,65.05033406309752,51.229160435957574,70,75,30,25,50,,,59.881154594611814
1757574000,23918.25,23922,23906.25,23917,23902.613418119156,23905.210491144448,24041,23785,66.6330048974529,52.31992839700338,70,75,30,25,50,,,59.40992014380111
1757574900,23917,23924.75,23908.75,23911.75,23903.831629036602,23906.518392915557,24041,23785,63.332329465885635,52.8216534862546,70,75,30,25,50,,,56.08286656638752
1757575800,23911.25,23929,23909,23920.75,23906.087411831722,23909.364714332445,24041,23785,65.54918763570272,53.80515454861381,70,75,30,25,50,,,60.19791145394867
1757576700,23921,23935.25,23918.25,23930.75,23909.375756920825,23913.641771465955,24041,23785,69.88977480258771,55.192549193148444,70,75,30,25,50,,,64.21061438262358
1757577600,23931.25,23939.75,23927,23939.25,23913.35898933138,23918.763417172762,24041,23785,74.19744004588387,56.79813090246911,70,75,30,25,50,,,67.23441201305343
1757578500,23938.75,23942,23922.75,23924.75,23914.877790753864,23919.96073373821,24041,23785,66.60882056584228,56.98515402627652,70,75,30,25,50,,,58.200804331024656
1757579400,23925,23928.25,23917.25,23925,23916.22741865335,23920.96858699057,24041,23785,62.916298729876175,57.161109916006296,70,75,30,25,50,,,58.304823199249846
1757580300,23924.5,23927,23920.25,23922.25,23917.03042949957,23921.224869592457,24041,23785,59.295352258280914,57.09099380411565,70,75,30,25,50,,,56.63523907682643
1757581200,23922.5,23928.25,23920,23925.25,23918.12637223296,23922.029895673964,24041,23785,59.055572280821686,57.21841053810665,70,75,30,25,50,,,58.046619309048175
1757582100,23925.75,23929.75,23922.5,23925.5,23919.1095226019,23922.723916539173,24041,23785,59.076595257653764,57.345129441882875,70,75,30,25,50,,,58.168802316428305
1757583000,23924.75,23925.25,23912.75,23914,23918.428252921647,23920.97913323134,24041,23785,51.15024576976835,56.47707284577052,70,75,30,25,50,,,50.83470497104024
1757583900,23914,23921.75,23907.75,23920.25,23918.671152532093,23920.83330658507,24041,23785,51.318238290503615,56.17526217523563,70,75,30,25,50,,,54.213492816758844
1757584800,23920,23935.75,23918.25,23935,23920.84833219448,23923.66664526806,24041,23785,58.341165374776956,56.82143447288191,70,75,30,25,50,,,61.02155440758271
1757585700,23935.5,23939.25,23931.25,23937.75,23923.101887901885,23926.483316214446,24041,23785,62.86706858336984,57.53211070452613,70,75,30,25,50,,,62.1515062102136
1757586600,23937.75,23946.75,23935,23941.25,23925.521636181635,23929.436652971555,24041,23785,66.43460424350657,58.34088061484784,70,75,30,25,50,,,63.597885031938965
1757587500,23941.25,23950,23938.5,23945.5,23928.185418024084,23932.649322377245,24041,23785,69.7455277753512,59.27282203330971,70,75,30,25,50,,,65.33044125331186
1757588400,23946,23950.25,23943,23944.5,23930.36069562087,23935.019457901795,24041,23785,70.40778771628041,59.97670290433934,70,75,30,25,50,,,64.55192856603196
1757589300,23944.25,23945.75,23939,23943,23932.045936204755,23936.615566321438,24041,23785,69.12487368862702,60.424180597658555,70,75,30,25,50,,,63.33278560423346
1757590200,23943,23952.5,23939.75,23949,23934.30647804412,23939.09245305715,24041,23785,71.29554282537462,61.17981686078701,70,75,30,25,50,,,66.09145257112192
1757591100,23949,23956,23944,23945.75,23935.832280971572,23940.42396244572,24041,23785,68.72506358702364,61.46421835304289,70,75,30,25,50,,,63.31282805270613
1757592000,23946,23952,23939.25,23944.25,23936.954643508696,23941.189169956575,24041,23785,65.75738410792363,61.537906779904056,70,75,30,25,50,,,62.01688155450162
1757592900,23944.75,23967,23931.5,23956.75,23939.594024374204,23944.30133596526,24041,23785,70.42969755606626,62.38770776461355,70,75,30,25,50,,,67.91141416522528
1757593800,23958.5,23976.25,23845,23924.75,23937.61482112431,23940.39106877221,24041,23785,54.10139101210626,60.41098346885736,70,75,30,25,50,,,47.56227554644211
1757594700,23924.5,23961.25,23915,23959.25,23940.49951164107,23944.162855017767,24041,23785,57.90615370624469,60.50242376468748,70,75,30,25,50,,,61.09678568758322
1757595600,23959.25,23965,23940,23949.5,23941.699576755593,23945.230284014215,24041,23785,56.33548892815131,59.988358739910346,70,75,30,25,50,,,56.646936078859
1757596500,23949.25,23978.25,23939,23977,23946.406299854847,23951.584227211373,24041,23785,61.663194633209315,60.58996806951438,70,75,30,25,50,,,64.50042871194056
1757597400,23977,23997.75,23911.5,23924.75,23943.518793207535,23946.2173817691,24041,23785,51.7778212702334,58.78567503924417,70,75,30,25,50,,,47.057770342487785
1757598300,23925,23988,23909.75,23979.25,23948.282954113198,23952.82390541528,24041,23785,55.933290207899034,58.8666477221555,70,75,30,25,50,,,59.392970161079134
1757599200,23978.75,24003.25,23954.75,23959,23949.71189356477,23954.059124332223,24041,23785,54.420084012815195,58.26148900813067,70,75,30,25,50,,,54.32795736696929
1757600100,23959.25,23979.75,23946.75,23965.75,23951.850307756133,23956.397299465778,24041,23785,54.70932485486067,57.917903056955936,70,75,30,25,50,,,55.684594374320184
1757601000,23965,24018,23961.5,24014.25,23960.170266721983,23967.967839572622,24041,23785,60.95862671944469,58.7244075507146,70,75,30,25,50,,,63.96668676014592
1757601900,24014.25,24022,23975.25,24004,23966.014231159053,23975.1742716581,24041,23785,61.976278902529316,59.07539844520447,70,75,30,25,50,,,61.35683925938859
1757602800,24003.5,24019,24000.25,24016.75,23972.779000337847,23983.48941732648,24041,23785,64.02832540401519,59.646603990380406,70,75,30,25,50,,,63.35944003402398
1757603700,24016.5,24048.75,24013.5,24038,23981.475133626132,23994.391533861184,24041,23785,67.42097975404633,60.5573963499916,70,75,30,25,50,,,66.47754668746435
1757604600,24037.75,24045.75,24018.5,24019,23986.478449142647,23999.313227088947,24041,23785,64.6182772957291,60.67544790205008,70,75,30,25,50,,,61.44278299043019
1757605500,24019.25,24030,24003,24024.25,23991.514655923627,24004.30058167116,24041,23785,63.96821278987022,60.891067075100274,70,75,30,25,50,,,62.29259169992654
1757606400,24024,24043.5,24021.25,24034,23997.179368467143,24010.240465336927,24041,23785,65.08406550321055,61.29020133210006,70,75,30,25,50,,,63.88457400259869
1757607300,24033.75,24041.75,24022.75,24024.5,24000.82211933819,24013.09237226954,24041,23785,62.92835360288069,61.2747708999136,70,75,30,25,50,,,61.17447309070161
1757608200,24024.75,24033.25,24006.25,24014.75,24002.6791700931,24013.42389781563,24041,23785,59.13428849937523,60.89608563965293,70,75,30,25,50,,,58.434631447958594
1757609100,24014.5,24017.75,23994.75,24008.5,24003.455280747352,24012.439118252507,24041,23785,55.503394207650985,60.33422327700571,70,75,30,25,50,,,56.68211791979881
1757610000,24008.75,24026.25,23997.25,24024.75,24006.294576647706,24014.901294602005,24041,23785,57.531323060929026,60.294716978580404,70,75,30,25,50,,,60.03792603881592
1757610900,24024.5,24030.25,24012,24014,24007.32196642801,24014.721035681603,24041,23785,55.27724883031954,59.84177819398902,70,75,30,25,50,,,56.89767609414503
1757611800,24014,24034.5,24013.5,24029.5,24010.279037570945,24017.67682854528,24041,23785,57.810530689886285,59.880922299208294,70,75,30,25,50,,,60.13535898313356
1757612700,24029.75,24033,24003.5,24032.5,24013.241832561485,24020.641462836225,24041,23785,59.75117660002374,59.996785575909186,70,75,30,25,50,,,60.749896874464966
1757613600,24032.75,24035.75,24021,24026.75,24015.042921553286,24021.86317026898,24041,23785,58.54250331403095,59.84741178274936,70,75,30,25,50,,,58.8764821272105
1757614500,24026.75,24030,24014,24021.5,24015.90386534618,24021.790536215187,24041,23785,55.93198947864596,59.486922594571006,70,75,30,25,50,,,57.14374287141169
1757615400,24021.25,24034.25,24017,24032.75,24018.150016633357,24023.98242897215,24041,23785,58.102045622199526,59.537898969272575,70,75,30,25,50,,,59.86924540483278
1757616300,24032.75,24042.25,24030,24033.5,24020.19668108224,24025.88594317772,24041,23785,59.41449287152879,59.606398484955065,70,75,30,25,50,,,60.051645336891255
1757617200,24033.5,24037.5,24021.75,24023.5,24020.63712360461,24025.408754542175,24041,23785,55.48065167195957,59.17522143876117,70,75,30,25,50,,,56.37257063850084
1757618100,24023.5,24038.75,24021,24032.75,24022.25217379066,24026.87700363374,24041,23785,56.91168085292941,59.13612315415921,70,75,30,25,50,,,58.88198430424645
