time,open,high,low,close,EMA Fast,EMA Slow,LongSignal,ShortSignal
1768172400,25930.815838764316,25955.75,25870.25,25914.9375,,,,
1768172520,25922.87666938216,25922.87666938216,25874.25,25885,,,,
1768172640,25903.93833469108,25903.93833469108,25879.5,25886.9375,,,,
1768172760,25895.437917345538,25903,25890.25,25894.25,,,,
1768172880,25894.84395867277,25923,25887,25903.6875,,,,
1768173000,25899.265729336385,25919.75,25899.265729336385,25913.0625,,,,
1768173120,25906.164114668194,25914,25906.164114668194,25910,,,,
1768173240,25908.082057334097,25912.75,25900.25,25907.0625,,,,
1768173360,25907.57227866705,25910,25883,25896.1875,,,,
1768173480,25901.879889333526,25901.879889333526,25879.75,25888.875,,,,
1768173600,25895.377444666763,25903.5,25890.5,25897.625,,,,
1768173720,25896.501222333383,25906.5,25896.501222333383,25903.0625,,,,
1768173840,25899.78186116669,25905,25899.78186116669,25903.125,,,,
1768173960,25901.453430583344,25909.5,25901.25,25905.625,,,,
1768174080,25903.539215291672,25908.25,25901.25,25904.9375,,,,
1768174200,25904.238357645838,25911,25896.25,25904.8125,,,,
1768174320,25904.52542882292,25912,25904.52542882292,25908.375,,,,
1768174440,25906.45021441146,25907.75,25904,25905.8125,,,,
1768174560,25906.13135720573,25907,25901.5,25904,,,,
1768174680,25905.065678602863,25906.5,25899.25,25902.625,,,,
1768174800,25903.84533930143,25907.75,25899.25,25903.25,25902.059523809523,,,
1768174920,25903.547669650718,25909.25,25903,25905.5,25902.372294372293,,,
1768175040,25904.52383482536,25908.25,25903,25905.875,25902.69072215663,,,
1768175160,25905.19941741268,25906.75,25899.5,25903.125,25902.73020196057,,,
1768175280,25904.16220870634,25907.75,25894.25,25901.875,25902.652456327793,,,
1768175400,25903.018604353172,25911,25898.75,25904.25,25902.79768757072,,,
1768175520,25903.634302176586,25908,25902.25,25904.75,25902.975170518836,,,
1768175640,25904.192151088293,25907.75,25902.75,25905.75,25903.227427744398,,,
1768175760,25904.97107554415,25909.5,25904.75,25906.3125,25903.507888858545,,,
1768175880,25905.641787772074,25906.5,25893.25,25899.625,25903.154898962315,,,
1768176000,25902.633393886037,25902.633393886037,25880.75,25889.0625,25901.87377178392,,,
1768176120,25895.847946943017,25902.5,25882.5,25892.9375,25901.06138343993,,,
1768176240,25894.39272347151,25902,25863,25883.8125,25899.49330312721,,,
1768176360,25889.102611735754,25889.102611735754,25861.75,25868.0625,25896.63595738837,,,
1768176480,25878.582555867877,25878.582555867877,25866.75,25870.5625,25894.265643080336,,,
1768176600,25874.57252793394,25874.57252793394,25855,25864.25,25891.536948254852,,,
1768176720,25869.41126396697,25869.41126396697,25857.75,25862.9375,25888.9369984135,,,
1768176840,25866.174381983485,25872,25856.75,25865.6875,25886.823407648637,,,
1768176960,25865.93094099174,25872,25865.25,25867.625,25885.0780978624,,,
1768177080,25866.77797049587,25870.5,25862.25,25866.4375,25883.383498056726,,,
1768177200,25866.607735247933,25870.25,25861,25865.6875,25881.77477096066,,,
1768177320,25866.147617623967,25866.147617623967,25858.75,25861.6875,25879.948655418782,,,
1768177440,25863.917558811983,25865.25,25857.5,25861.0625,25878.231732198892,,,
1768177560,25862.49002940599,25867.25,25858,25863.125,25876.858392908085,,,
1768177680,25862.807514702996,25866.25,25861,25863.6875,25875.66103900735,,,
1768177800,25863.247507351498,25863.247507351498,25847,25854.875,25873.771399097594,,,
1768177920,25859.061253675747,25859.061253675747,25838,25844.125,25871.076271906903,,,
1768178040,25851.593126837874,25851.593126837874,25825.25,25837.875,25868.057974460822,,,
1768178160,25844.73406341894,25844.73406341894,25833.25,25836.75,25865.211794964383,,,
