time,open,high,low,close
1756805400,23436.54,23469.68,23418.99,23449.07
1756805700,23479.61,23529.14,23473.92,23504.02
1756806000,23490.53,23550.6,23471.54,23472.5
1756806300,23561.77,23571.92,23534.59,23564.76
1756806600,23542.07,23589.27,23513.53,23549.29
1756806900,23586.82,23609.65,23544.62,23599.11
1756807200,23580.04,23614.25,23530.05,23578.23
1756807500,23540.17,23553.19,23533.34,23538.49
1756807800,23548.97,23561.49,23523.72,23528.83
1756808100,23592.79,23647.64,23570.72,23608.28
1756808400,23592.97,23597.01,23553.45,23557.02
1756808700,23594.38,23621.31,23561.44,23609.9
1756809000,23608.28,23620.55,23605.02,23605.92
1756809300,23600.93,23625.56,23577.81,23582.61
1756809600,23595.57,23615.33,23548.2,23585.79
1756809900,23607.13,23625.13,23595.72,23619.83
1756810200,23540.48,23559.8,23462.46,23518.29
1756810500,23534.15,23587.99,23470.12,23473.84
1756810800,23493.04,23509.25,23474.09,23474.31
1756811100,23471.36,23499.47,23418.63,23446.68
1756811400,23471.14,23483.19,23442.56,23472.52
1756811700,23510.85,23520.61,23471.34,23499.92
1756812000,23525.33,23556.01,23485.98,23489.7
1756812300,23593.07,23600.66,23569.23,23593.87
1756812600,23529.03,23575.2,23505.54,23545.66
1756812900,23482.4,23502.09,23444.02,23486.72
1756813200,23520.07,23609.7,23467.98,23515.82
1756813500,23527.14,23550.87,23461.99,23506.59
1756813800,23598.54,23643.78,23561.29,23601.14
1756814100,23554.77,23579.63,23545.24,23572.35
1756814400,23581.0,23592.0,23553.87,23586.51
1756814700,23500.78,23524.34,23486.59,23490.0
1756815000,23423.54,23481.56,23413.34,23444.89
1756815300,23410.5,23454.38,23364.12,23403.6
1756815600,23424.07,23445.4,23392.83,23440.58
1756815900,23427.88,23477.96,23398.4,23462.02
1756816200,23318.44,23351.33,23306.41,23348.23
1756816500,23351.46,23399.16,23333.06,23391.96
1756816800,23337.76,23371.62,23324.56,23327.96
1756817100,23330.31,23337.49,23315.12,23321.41
1756817400,23352.99,23416.81,23331.65,23350.82
1756817700,23369.35,23374.3,23315.02,23338.82
1756818000,23403.43,23454.56,23341.16,23439.56
1756818300,23418.35,23471.32,23399.23,23410.59
1756818600,23483.41,23526.91,23433.14,23471.67
1756818900,23442.86,23468.5,23394.04,23411.31
1756819200,23507.34,23628.79,23473.27,23557.05
1756819500,23520.11,23530.24,23513.94,23526.11
1756819800,23521.04,23579.33,23470.8,23557.61
1756820100,23477.16,23520.55,23396.36,23494.08
1756820400,23374.55,23380.07,23335.97,23375.87
1756820700,23351.82,23376.33,23337.72,23354.55
1756821000,23309.62,23324.71,23299.56,23305.84
1756821300,23256.26,23293.95,23247.03,23272.64
1756821600,23280.6,23300.88,23236.16,23259.02
1756821900,23254.43,23291.22,23251.75,23259.77
1756822200,23242.22,23275.85,23222.12,23245.83
1756822500,23259.28,23263.7,23241.27,23252.84
1756822800,23336.3,23374.13,23266.14,23292.19
1756823100,23256.11,23294.28,23224.89,23284.6
1756823400,23277.46,23324.5,23254.55,23268.93
