time,open,high,low,close
1756805400,23437.28,23470.23,23419.83,23449.73
1756805460,23480.31,23529.56,23474.65,23504.57
1756805520,23491.56,23551.29,23472.67,23473.62
1756805580,23562.94,23573.03,23535.92,23565.92
1756805640,23544.06,23590.99,23515.68,23551.23
1756805700,23589.39,23612.09,23547.42,23601.61
1756805760,23583.6,23617.62,23533.89,23581.8
1756805820,23545.02,23557.96,23538.23,23543.35
1756805880,23554.93,23567.39,23529.82,23534.91
1756805940,23599.75,23654.3,23577.81,23615.16
1756806000,23601.26,23605.28,23561.97,23565.52
1756806060,23604.07,23630.84,23571.31,23619.5
1756806120,23605.22,23617.43,23601.99,23602.89
1756806180,23600.85,23625.34,23577.86,23582.64
1756806240,23598.37,23618.02,23551.26,23588.64
1756806300,23605.22,23623.12,23593.87,23617.85
1756806360,23542.38,23561.59,23464.8,23520.31
1756806420,23539.38,23592.91,23475.71,23479.41
1756806480,23501.67,23517.78,23482.83,23483.04
1756806540,23483.17,23511.11,23430.74,23458.63
1756806600,23485.9,23497.88,23457.48,23487.27
1756806660,23528.25,23537.95,23488.96,23517.37
1756806720,23545.42,23575.93,23506.3,23509.99
1756806780,23605.22,23612.78,23581.52,23606.02
1756806840,23545.22,23591.12,23521.86,23561.75
1756806900,23502.35,23521.93,23464.19,23506.65
1756806960,23543.17,23632.29,23491.37,23538.94
1756807020,23553.41,23577.01,23488.63,23532.98
1756807080,23605.22,23650.21,23568.19,23607.82
1756807140,23566.94,23591.65,23557.45,23584.41
1756807200,23597.93,23608.86,23570.95,23603.4
1756807260,23522.79,23546.21,23508.67,23512.06
1756807320,23450.34,23508.03,23440.2,23471.57
1756807380,23441.51,23485.14,23395.39,23434.65
1756807440,23458.92,23480.13,23427.87,23475.34
1756807500,23466.45,23516.24,23437.13,23500.39
1756807560,23361.19,23393.9,23349.23,23390.81
1756807620,23397.44,23444.87,23379.14,23437.71
1756807680,23387.09,23420.76,23373.97,23377.35
1756807740,23382.83,23389.97,23367.72,23373.98
1756807800,23408.43,23471.88,23387.21,23406.26
1756807860,23427.63,23432.55,23373.61,23397.28
1756807920,23464.37,23515.2,23402.45,23500.29
1756807980,23481.98,23534.64,23462.96,23474.26
1756808040,23549.36,23592.61,23499.38,23537.69
1756808100,23511.67,23537.17,23463.12,23480.3
1756808160,23578.36,23699.12,23544.48,23627.79
1756808220,23593.57,23603.65,23587.44,23599.54
1756808280,23596.97,23654.93,23547.02,23633.33
1756808340,23555.76,23598.91,23475.42,23572.59
1756808400,23456.12,23461.61,23417.76,23457.44
1756808460,23435.88,23460.25,23421.85,23438.59
1756808520,23396.23,23411.25,23386.24,23392.48
1756808580,23345.47,23382.95,23336.29,23361.76
1756808640,23371.94,23392.11,23327.76,23350.49
1756808700,23348.17,23384.74,23345.5,23353.47
1756808760,23338.25,23371.69,23318.26,23341.84
1756808820,23357.42,23361.82,23339.51,23351.02
1756808880,23436.2,23473.82,23366.43,23392.34
1756808940,23358.63,23396.59,23327.59,23386.96
1756809000,23382.02,23428.8,23359.24,23373.54
1756809060,23452.98,23528.71,23419.82,23497.48
1756809120,23593.53,23611.09,23528.74,23561.42
1756809180,23593.04,23601.39,23551.7,23563.06
1756809240,23605.22,23607.56,23556.63,23601.85
1756809300,23568.01,23599.8,23526.33,23550.94
1756809360,23605.22,23628.32,23604.4,23606.56
1756809420,23586.2,23595.25,23582.52,23583.36
1756809480,23605.22,23624.4,23585.72,23620.48
1756809540,23545.79,23546.56,23532.94,23538.62
1756809600,23538.85,23569.11,23510.76,23558.1
1756809660,23519.36,23561.7,23481.52,23536.08
1756809720,23470.11,23538.4,23431.7,23506.74
1756809780,23504.06,23550.31,23492.14,23527.2
1756809840,23462.27,23473.3,23442.15,23452.81
1756809900,23471.76,23509.86,23417.6,23485.87
1756809960,23429.8,23433.43,23372.23,23375.48
1756810020,23429.19,23456.14,23396.43,23407.48
1756810080,23465.2,23505.76,23424.78,23478.01
1756810140,23459.36,23493.08,23442.57,23465.21
1756810200,23428.76,23489.03,23374.83,23474.78
1756810260,23421.59,23426.71,23372.82,23412.68
1756810320,23389.46,23449.43,23380.95,23388.86
1756810380,23473.68,23527.0,23422.0,23497.79
1756810440,23405.71,23420.41,23378.0,23410.47
1756810500,23322.49,23329.2,23301.98,23307.29
1756810560,23317.91,23349.27,23262.98,23310.89
1756810620,23374.64,23399.93,23346.54,23373.93
1756810680,23417.11,23439.26,23377.07,23431.51
1756810740,23455.17,23464.42,23397.73,23462.15
1756810800,23456.81,23508.5,23434.01,23494.12
1756810860,23476.18,23482.2,23444.03,23465.5
1756810920,23451.67,23502.0,23428.32,23453.95
1756810980,23448.32,23451.46,23421.18,23427.38
1756811040,23411.63,23445.0,23368.2,23414.65
1756811100,23380.16,23458.26,23374.35,23421.83
1756811160,23316.89,23341.54,23251.78,23300.45
1756811220,23300.31,23343.4,23250.97,23291.78
1756811280,23288.2,23362.18,23243.05,23256.14
1756811340,23274.67,23287.82,23151.45,23201.66
1756811400,23321.78,23356.32,23313.23,23338.89
1756811460,23408.79,23411.19,23359.5,23385.72
1756811520,23369.71,23385.94,23351.62,23356.54
1756811580,23326.67,23368.24,23309.47,23309.84
1756811640,23461.99,23470.67,23424.31,23457.92
1756811700,23466.81,23473.4,23403.18,23455.11
1756811760,23427.87,23456.87,23367.39,23433.46
1756811820,23389.13,23395.77,23372.94,23382.74
1756811880,23367.28,23373.1,23346.91,23361.5
1756811940,23344.17,23407.51,23328.43,23364.83
1756812000,23429.86,23501.47,23395.6,23463.32
1756812060,23414.09,23423.83,23394.61,23408.57
1756812120,23394.93,23432.52,23386.24,23391.23
1756812180,23366.62,23435.4,23359.43,23391.53
1756812240,23361.91,23420.29,23307.2,23332.31
1756812300,23318.2,23342.09,23275.23,23297.94
1756812360,23285.9,23287.15,23260.17,23272.34
1756812420,23381.47,23404.65,23328.81,23348.39
1756812480,23425.03,23426.58,23381.61,23424.43
1756812540,23471.56,23494.94,23463.55,23469.98
1756812600,23464.74,23509.74,23454.18,23459.54
1756812660,23476.26,23486.72,23465.34,23480.9
1756812720,23524.32,23535.19,23492.04,23517.67
1756812780,23563.65,23574.82,23506.66,23527.03
1756812840,23605.22,23653.6,23573.81,23625.44
1756812900,23576.58,23598.05,23505.01,23538.68
1756812960,23506.12,23562.8,23483.12,23523.42
1756813020,23544.34,23592.12,23527.43,23587.17
1756813080,23490.51,23546.89,23464.45,23492.66
1756813140,23496.77,23527.07,23437.06,23457.11
1756813200,23431.03,23458.65,23426.87,23445.46
1756813260,23332.6,23357.36,23308.67,23318.79
1756813320,23327.63,23340.02,23295.05,23305.55
1756813380,23298.62,23332.0,23259.45,23279.05
1756813440,23289.89,23309.7,23259.4,23263.56
1756813500,23315.97,23325.04,23198.6,23236.49
1756813560,23399.38,23457.43,23379.42,23411.8
1756813620,23414.85,23440.95,23407.57,23439.36
1756813680,23461.71,23540.32,23449.79,23501.09
1756813740,23568.12,23625.66,23558.17,23568.1
1756813800,23504.99,23534.06,23487.44,23522.66
1756813860,23494.41,23538.21,23466.28,23529.23
1756813920,23484.16,23494.97,23463.95,23492.35
1756813980,23390.15,23444.86,23335.94,23396.14
1756814040,23319.57,23335.82,23279.68,23300.64
1756814100,23319.27,23345.46,23299.65,23344.59
1756814160,23350.99,23386.96,23349.01,23364.37
1756814220,23436.72,23496.35,23426.55,23448.17
1756814280,23413.34,23433.57,23359.37,23404.77
1756814340,23458.56,23508.08,23404.61,23411.69
1756814400,23436.07,23462.61,23377.75,23434.2
1756814460,23392.67,23442.95,23360.18,23367.26
1756814520,23409.1,23428.14,23381.4,23424.79
1756814580,23359.55,23365.09,23343.94,23352.2
1756814640,23264.34,23267.82,23195.9,23237.32
1756814700,23274.35,23285.3,23198.48,23225.49
1756814760,23218.02,23279.6,23206.7,23229.42
1756814820,23235.37,23247.76,23228.87,23239.68
1756814880,23245.75,23290.64,23243.07,23254.8
1756814940,23257.13,23267.38,23254.64,23267.34
1756815000,23285.73,23314.75,23280.06,23304.27
1756815060,23238.0,23244.56,23131.94,23210.5
1756815120,23221.23,23227.64,23172.73,23204.88
1756815180,23200.02,23200.34,23102.63,23127.24
