time,open,high,low,close
1770872940,25334.0,25336.75,25331.25,25333.5
1770873120,25333.0,25336.0,25332.5,25336.0
1770873300,25336.25,25337.5,25334.75,25336.25
1770873480,25337.5,25343.5,25336.75,25341.25
1770873660,25342.0,25343.25,25334.75,25334.75
1770873840,25335.0,25337.75,25332.75,25335.0
1770874020,25334.5,25337.0,25332.5,25334.25
1770874200,25333.0,25333.5,25329.75,25330.75
1770874380,25331.25,25332.75,25327.75,25328.25
1770874560,25328.25,25332.5,25328.25,25329.25
1770874740,25328.5,25338.25,25328.5,25338.25
1770874920,25339.0,25344.75,25336.25,25336.25
1770875100,25336.0,25341.25,25335.75,25338.0
1770875280,25337.75,25340.25,25337.5,25339.5
1770875460,25339.5,25341.25,25331.0,25333.0
1770875640,25333.5,25341.25,25333.25,25334.5
1770875820,25334.0,25338.5,25330.0,25337.0
1770876000,25338.5,25341.75,25328.0,25329.5
1770876180,25330.0,25330.0,25321.75,25327.75
1770876360,25328.5,25328.5,25321.25,25321.75
1770876540,25323.0,25329.25,25323.0,25326.25
1770876720,25327.25,25343.75,25327.25,25336.75
1770876900,25336.5,25344.5,25332.5,25333.5
1770877080,25333.75,25335.5,25316.25,25318.5
1770877260,25320.25,25320.5,25312.5,25315.0
1770877440,25314.75,25323.75,25314.0,25319.0
1770877620,25320.75,25326.75,25316.25,25320.25
1770877800,25322.0,25332.5,25304.25,25314.0
1770877980,25316.25,25316.5,25297.5,25301.5
1770878160,25301.25,25309.0,25297.5,25302.75
1770878340,25303.25,25308.0,25299.5,25302.25
1770878520,25302.75,25303.75,25295.0,25299.0
1770878700,25298.25,25304.25,25292.0,25297.5
1770878880,25297.75,25311.25,25297.75,25310.0
1770879060,25309.5,25315.0,25303.5,25312.25
1770879240,25312.0,25316.0,25309.25,25314.75
1770879420,25314.0,25323.5,25314.0,25319.75
1770879600,25319.25,25328.0,25313.0,25320.25
1770879780,25321.25,25336.75,25318.25,25332.75
1770879960,25333.5,25334.5,25322.0,25325.25
1770880140,25325.5,25329.5,25325.0,25326.25
1770880320,25326.75,25336.75,25326.5,25333.0
1770880500,25333.5,25338.5,25329.0,25335.75
1770880680,25335.75,25340.25,25332.25,25335.5
1770880860,25334.75,25342.5,25332.0,25339.25
1770881040,25339.0,25357.25,25338.5,25352.0
1770881220,25352.25,25352.75,25345.5,25351.25
1770881400,25351.25,25357.25,25348.25,25350.25
1770881580,25350.75,25353.75,25347.75,25352.25
1770881760,25352.75,25356.5,25349.5,25353.5
1770881940,25352.5,25354.75,25346.25,25351.5
1770882120,25352.5,25359.25,25348.0,25350.75
1770882300,25351.0,25354.75,25343.75,25345.0
1770882480,25345.0,25351.5,25345.0,25349.5
