,start_pnl,end_pnl,daily_pnl,peak_pnl,max_drawdown,trades
2025-09-02,0.0,97761.17552339735,97761.17552339735,98711.97552339664,950.7999999992899,21
2025-09-03,97761.17552339735,186559.88901068782,88798.71348729047,186750.04901068768,190.15999999985797,3
2025-09-04,186559.88901068782,185323.84901068875,-1236.0399999990768,186559.88901068782,1236.0399999990768,13
2025-09-05,185323.84901068875,318302.2715202158,132978.42250952704,318777.6715202153,1140.9599999991478,22
2025-09-08,318302.2715202158,475902.2403602533,157599.96884003753,476377.6403602528,475.3999999994994,17
2025-09-09,475902.2403602533,545157.1340533339,69254.89369308058,545822.6940533336,760.6399999991991,20
2025-09-10,545157.1340533339,679195.7429514563,134038.60889812245,680907.1829514556,1711.4399999992456,26
2025-09-11,679195.7429514563,776758.1405135992,97562.39756214281,776758.1405135992,665.5599999997066,17
2025-09-12,776758.1405135992,840883.1824303484,64125.04191674921,841168.4224303482,1140.959999999497,18
2025-09-15,840883.1824303484,886227.4601339252,45344.27770357684,886893.0201339249,855.7199999996228,17
2025-09-16,886227.4601339252,915884.9513259239,29657.491191998706,917216.0713259233,1331.1199999994133,16
2025-09-17,915884.9513259239,988565.3238868004,72680.37256087654,988850.5638868003,950.7999999995809,14
2025-09-18,988565.3238868004,1052558.570906494,63993.247019693605,1053699.5309064921,1140.9599999981,14
2025-09-19,1052558.570906494,1182733.20961877,130174.638712276,1182828.28961877,950.7999999984168,16
2025-09-22,1182733.20961877,1181021.769618773,-1711.4399999971502,1182733.20961877,1711.4399999971502,18
2025-09-23,1181021.769618773,1219667.7272852957,38645.95766652282,1220143.127285295,855.7199999985751,15
2025-09-24,1219667.7272852957,1269552.653731284,49884.92644598824,1269552.653731284,1996.6799999966752,22
2025-09-25,1269552.653731284,1474356.3000425505,204803.64631126658,1475212.0200425491,855.7199999985751,20
2025-09-26,1474356.3000425505,1473310.4200425523,-1045.8799999982584,1474356.3000425505,1045.8799999982584,11
2025-09-29,1473310.4200425523,1561705.7313340236,88395.31129147136,1562086.051334023,760.6399999987334,14
2025-09-30,1561705.7313340236,1560279.531334026,-1426.1999999976251,1561705.7313340236,1426.1999999976251,15
2025-10-01,1560279.531334026,1629572.371007472,69292.83967344603,1629857.6110074716,1236.0399999979418,17
2025-10-02,1629572.371007472,1692254.7937515248,62682.42274405272,1693395.7537515229,1045.8799999982584,13
2025-10-03,1692254.7937515248,1785614.9046096967,93360.11085817195,1785900.1446096962,855.7199999985751,16
2025-10-06,1785614.9046096967,1829440.0680273701,43825.16341767344,1830200.7080273689,760.6399999987334,16
2025-10-07,1829440.0680273701,1884544.1092751024,55104.04124773224,1884924.4292751017,950.7999999984168,15
2025-10-08,1884544.1092751024,1935658.9820837085,51114.87280860613,1936514.702083707,1045.8799999982584,21
2025-10-09,1935658.9820837085,1934422.9420837106,-1236.0399999979418,1935658.9820837085,1236.0399999979418,13
2025-10-10,1934422.9420837106,2089163.4822568598,154740.5401731492,2090209.362256858,1045.8799999982584,12
2025-10-13,2089163.4822568598,2423555.0581053533,334391.5758484935,2423555.0581053533,950.8000000007451,24
2025-10-14,2423555.0581053533,2421938.698105352,-1616.3600000012666,2423555.0581053533,1616.3600000012666,17
2025-10-15,2421938.698105352,2731035.617619394,309096.91951404186,2731606.0976193943,570.480000000447,20
2025-10-16,2731035.617619394,2821967.73237689,90932.11475749593,2823203.7723768908,1236.0400000009686,18
2025-10-17,2821967.73237689,2916451.947377312,94484.2150004222,2917973.227377313,1521.280000001192,17
2025-10-20,2916451.947377312,3081412.7765251785,164960.82914786646,3083124.21652518,1616.3600000012666,19
2025-10-21,3081412.7765251785,3105728.311914739,24315.53538956074,3106679.11191474,950.8000000007451,19
2025-10-22,3105728.311914739,3103541.4719147375,-2186.8400000017136,3105728.311914739,2186.8400000017136,23
2025-10-23,3103541.4719147375,3159358.0824369635,55816.610522225965,3160879.3624369646,1521.280000001192,19
2025-10-24,3159358.0824369635,3257142.8516865694,97784.76924960595,3257333.0116865695,1236.0400000009686,17
2025-10-27,3257142.8516865694,3377266.9005871695,120124.04890060006,3378027.54058717,855.7200000006706,19
2025-10-28,3377266.9005871695,3425255.4067102047,47988.506123035215,3426776.686710206,1521.280000001192,17
2025-10-29,3425255.4067102047,3533577.4633811708,108322.05667096609,3534623.3433811716,1045.8800000008196,24
2025-10-30,3533577.4633811708,3532531.58338117,-1045.8800000008196,3533577.4633811708,1045.8800000008196,11
2025-10-31,3532531.58338117,3598531.8039673185,66000.22058614856,3599577.6839673193,1045.8800000008196,14
2025-11-03,3598531.8039673185,3597295.7639673175,-1236.0400000009686,3598531.8039673185,1236.0400000009686,13
2025-11-04,3597295.7639673175,3699583.1956706713,102287.43170335377,3700058.5956706717,855.7200000006706,15
2025-11-05,3699583.1956706713,3804668.7831608607,105085.58749018935,3806094.983160862,1426.2000000011176,22
2025-11-06,3804668.7831608607,3944355.8607134637,139687.0775526031,3945972.220713465,1616.3600000012666,21
2025-11-07,3944355.8607134637,4156078.289800182,211722.42908671824,4156268.449800182,1711.440000001341,22
2025-11-10,4156078.289800182,4154747.169800181,-1331.120000001043,4156078.289800182,1331.120000001043,14
2025-11-11,4154747.169800181,4237368.645359116,82621.47555893473,4239745.645359118,2377.0000000018626,26
2025-11-12,4237368.645359116,4288879.585388749,51510.94002963323,4291066.425388751,2186.8400000017136,24
2025-11-13,4288879.585388749,4409357.8572622435,120478.27187349461,4410688.977262245,1331.120000001043,17
2025-11-14,4409357.8572622435,4519687.39725438,110329.53999213688,4520352.957254381,1140.960000000894,20
2025-11-17,4519687.39725438,4737709.47635187,218022.07909748983,4738755.356351871,1045.8800000008196,24
2025-11-18,4737709.47635187,4736283.276351869,-1426.2000000011176,4737709.47635187,1426.2000000011176,15
2025-11-19,4736283.276351869,4826809.601856184,90526.32550431509,4828425.961856185,1616.3600000012666,19
2025-11-20,4826809.601856184,5248408.696094064,421599.09423787985,5249359.496094065,950.8000000007451,18
2025-11-21,5248408.696094064,5497574.4390506875,249165.74295662344,5497669.519050688,1140.960000000894,17
2025-11-24,5497574.4390506875,5617171.271586032,119596.83253534418,5618122.071586032,950.8000000007451,18
2025-11-25,5617171.271586032,5906392.809825365,289221.5382393338,5906582.969825366,570.480000000447,16
2025-11-26,5906392.809825365,6017169.591982573,110776.78215720784,6018405.631982574,1236.0400000009686,17
2025-11-28,6017169.591982573,6092590.113715312,75420.52173273917,6093350.753715313,760.640000000596,14
2025-12-01,6092590.113715312,6154515.232330876,61925.11861556396,6154895.552330877,1045.8800000008196,16
2025-12-02,6154515.232330876,6341366.988458895,186851.75612801872,6341937.468458896,760.640000000596,22
2025-12-03,6341366.988458895,6455583.836919767,114216.84846087173,6456629.716919768,1045.8800000008196,16
2025-12-04,6455583.836919767,6539104.345277809,83520.50835804176,6539199.425277809,1140.960000000894,24
2025-12-05,6539104.345277809,6590800.301577323,51695.95629951451,6591560.941577324,1045.8800000008196,20
2025-12-08,6590800.301577323,6642428.409737284,51628.10815996118,6642998.889737285,950.8000000007451,17
2025-12-09,6642428.409737284,6673923.513227455,31495.103490171023,6674398.913227456,1426.2000000011176,21
2025-12-10,6673923.513227455,6911480.314790511,237556.80156305525,6911575.394790511,570.480000000447,15
2025-12-11,6911480.314790511,6910244.27479051,-1236.0400000009686,6911480.314790511,1236.0400000009686,13
2025-12-12,6910244.27479051,7137507.922263629,227263.6474731192,7137888.242263629,950.8000000007451,18
2025-12-15,7137507.922263629,7135701.402263627,-1806.5200000014156,7137507.922263629,1806.5200000014156,19
2025-12-16,7135701.402263627,7133894.882263626,-1806.5200000014156,7135701.402263627,1806.5200000014156,19
2025-12-17,7133894.882263626,7345571.958432618,211677.07616899163,7345571.958432618,1140.960000000894,14
2025-12-18,7345571.958432618,7430192.392600535,84620.43416791782,7431333.352600536,1331.120000001043,27
2025-12-19,7430192.392600535,7498078.614055383,67886.2214548476,7498649.0940553835,570.480000000447,12
2025-12-22,7498078.614055383,7559557.776008125,61479.161952742375,7560413.496008126,760.640000000596,15
2025-12-23,7559557.776008125,7632166.9953506095,72609.21934248414,7632262.07535061,665.5600000005215,16
2025-12-24,7632166.9953506095,7667926.762351901,35759.76700129174,7668021.842351901,1140.960000000894,19
2025-12-26,7667926.762351901,7683716.169333391,15789.406981489621,7685237.449333392,1521.280000001192,18
2025-12-29,7683716.169333391,7722206.780161398,38490.61082800757,7723537.9001613995,1331.120000001043,17
2025-12-30,7722206.780161398,7743503.5056241155,21296.725462717004,7743503.5056241155,1806.5200000014156,20
2025-12-31,7743503.5056241155,7797379.8148978045,53876.309273689054,7797665.054897805,1616.3600000012666,21
2026-01-02,7797379.8148978045,7891100.322792641,93720.50789483637,7891290.482792641,1711.440000001341,21
2026-01-05,7891100.322792641,8005420.765170265,114320.4423776241,8006086.3251702655,665.5600000005215,21
2026-01-06,8005420.765170265,8124380.941553999,118960.17638373375,8125331.7415539995,950.8000000007451,23
2026-01-07,8124380.941553999,8170458.232874665,46077.29132066667,8171694.272874666,1236.0400000009686,20
2026-01-08,8170458.232874665,8279618.084682739,109159.85180807393,8279618.084682739,570.480000000447,8
2026-01-09,8279618.084682739,8277906.644682738,-1711.440000001341,8279618.084682739,1711.440000001341,18
2026-01-12,8277906.644682738,8342416.607335941,64509.962653202936,8343367.407335942,950.8000000007451,14
2026-01-13,8342416.607335941,8340705.16733594,-1711.440000001341,8342416.607335941,1711.440000001341,18
2026-01-14,8340705.16733594,8523334.055488393,182628.88815245312,8524379.935488394,1045.8800000008196,16
2026-01-15,8523334.055488393,8521337.375488391,-1996.6800000015646,8523334.055488393,1901.6000000014901,21
2026-01-16,8521337.375488391,8628791.117125886,107453.74163749442,8629551.757125886,760.640000000596,18
2026-01-20,8628791.117125886,8683836.814537948,55045.697412062436,8685833.49453795,1996.6800000015646,22
2026-01-21,8683836.814537948,8799899.44088985,116062.62635190226,8800279.76088985,950.8000000007451,15
2026-01-22,8799899.44088985,8997733.061141856,197833.62025200576,8998303.541141856,570.480000000447,17
2026-01-23,8997733.061141856,9030896.665694745,33163.60455288924,9031847.465694746,950.8000000007451,16
2026-01-26,9030896.665694745,9232162.376332277,201265.71063753217,9232542.696332278,760.640000000596,15
2026-01-27,9232162.376332277,9230260.776332276,-1901.6000000014901,9232162.376332277,1901.6000000014901,20
