Timeframe,Contracts,Key_Value,ATR_Period,Candle_Type,Total_Trades,Win_Rate,Total_PnL,Profit_Factor,Gross_Profit,Gross_Loss,Max_Drawdown,Max_Daily_DD,Total_Costs,Final_Equity
15min,1,3,14,HA,34,35.29,2342.86,1.28,10824.13,8481.27,2747.91,1462.96,110.16,152342.86
10min,1,3,14,HA,48,37.5,2171.45,1.26,10519.67,8348.22,2450.11,1169.73,155.52,152171.45
15min,1,3,10,HA,36,33.33,1216.39,1.13,10607.12,9390.74,2811.91,1462.96,116.64,151216.39
5min,1,3,10,Normal,129,37.21,953.03,1.06,17707.47,16754.43,2974.53,1129.4,417.96,150953.03
10min,1,3,10,HA,52,34.62,372.49,1.04,10414.67,10042.18,3450.59,1986.21,168.48,150372.49
10min,1,2,14,Normal,115,37.39,-775.63,0.95,15090.67,15866.3,4491.87,1543.96,372.6,149224.37
5min,1,3,10,HA,119,32.77,-1358.58,0.92,15976.62,17335.2,5114.01,1623.4,385.56,148641.42
10min,1,2,10,HA,95,33.68,-1852.84,0.87,12703.32,14556.15,4878.02,1684.17,307.8,148147.16
5min,1,2,10,Normal,265,36.98,-2057.57,0.92,24016.51,26074.08,4674.1,1925.55,858.6,147942.43
10min,1,2,14,HA,93,30.11,-2286.38,0.85,12720.26,15006.64,6901.52,2022.16,301.32,147713.62
10min,1,2,10,Normal,115,34.78,-2365.62,0.86,14341.39,16707.02,4696.38,1543.96,372.6,147634.38
10min,1,2,20,HA,95,32.63,-2531.83,0.83,12694.56,15226.38,7555.98,2053.16,307.8,147468.17
10min,1,3,20,HA,54,35.19,-2561.98,0.78,9110.44,11672.42,5537.26,1523.72,174.96,147438.02
15min,1,1,14,HA,167,35.93,-2856.05,0.86,17941.63,20797.68,7290.04,1876.38,541.08,147143.95
15min,1,1,20,Normal,209,39.23,-2996.1,0.87,20048.36,23044.46,5551.3,1733.4,677.16,147003.9
5min,1,3,20,HA,129,31.01,-3589.02,0.82,15936.39,19525.4,5993.58,1293.2,417.96,146410.98
15min,1,1,20,HA,167,34.73,-3618.02,0.83,17464.12,21082.14,7656.77,1876.38,541.08,146381.98
15min,1,1,14,Normal,211,37.91,-3660.59,0.84,19557.83,23218.42,5467.64,1719.39,683.64,146339.41
15min,1,3,20,HA,40,30.0,-3661.59,0.73,10047.12,13708.71,6126.31,1867.19,129.6,146338.41
10min,1,3,14,Normal,68,29.41,-3852.33,0.71,9591.2,13443.53,6839.19,1828.93,220.32,146147.67
5min,1,3,14,HA,127,33.07,-4224.51,0.78,15094.91,19319.43,6128.08,1585.4,411.48,145775.49
10min,1,2,20,Normal,119,35.29,-4394.58,0.75,13460.91,17855.48,6103.93,1673.96,385.56,145605.42
15min,1,2,20,HA,74,29.73,-4483.76,0.71,10989.72,15473.48,6825.12,1895.68,239.76,145516.24
10min,1,1,10,Normal,279,36.56,-4541.0,0.82,20725.5,25266.5,6332.67,1207.83,903.96,145459.0
3min,1,1,14,HA,755,35.36,-4550.25,0.89,36271.91,40822.16,5468.73,2061.26,2446.2,145449.75
5min,1,2,20,HA,213,35.68,-4557.1,0.82,20943.77,25500.86,6812.71,2042.12,690.12,145442.9
10min,1,3,10,Normal,70,30.0,-4892.82,0.66,9623.96,14516.78,8121.69,1898.93,226.8,145107.18
15min,1,1,10,Normal,215,34.88,-4917.55,0.8,19124.02,24041.57,6145.84,2035.11,696.6,145082.45
15min,1,2,14,HA,74,31.08,-5188.75,0.68,10974.48,16163.24,6991.87,1895.68,239.76,144811.25
3min,1,3,10,Normal,223,31.84,-5189.56,0.77,17671.94,22861.5,7548.92,1600.08,722.52,144810.44
15min,1,2,10,HA,72,31.94,-5222.27,0.67,10383.48,15605.75,6094.4,1839.68,233.28,144777.73
3min,1,1,10,HA,766,35.77,-5269.89,0.87,36739.25,42009.14,6835.28,1811.52,2481.84,144730.11
