Timeframe,Candle,Key_Value,ATR_Period,Contracts,Exit_Preset,Trades,Win_Rate,Total_PnL,Profit_Factor,Gross_Profit,Gross_Loss,Avg_Win,Avg_Loss,Max_Drawdown,Max_Daily_DD,Total_Costs,Final_Equity,Avg_Hold_Sec
5min,Normal,1,5,1,FixedSL100_TP200,561,36.19,2777.45,1.1,30560.29,27782.84,150.54,77.61,1472.53,1074.52,1817.64,152777.45,2766.8
5min,Normal,1,20,1,ATR1.5_RR1.5,567,37.92,2054.45,1.06,36528.93,34474.48,169.9,97.94,2926.96,783.12,1837.08,152054.45,3017.5
5min,Normal,2,10,1,ATR_SL_1.5x,221,34.39,1865.91,1.11,19478.78,17612.86,256.3,121.47,2097.87,1220.59,716.04,151865.91,6739.8
5min,Normal,3,10,1,ATR2x_RR2.5,111,33.33,1816.24,1.14,14442.36,12626.12,390.33,170.62,2219.38,1179.46,359.64,151816.24,10002.7
5min,Normal,2,10,1,FixedSL150_TP300,236,38.14,1727.36,1.1,19524.4,17797.04,216.94,121.9,2803.95,1136.83,764.64,151727.36,6335.6
5min,Normal,3,14,1,ATR2x_RR2.5,130,34.62,1653.0,1.11,16888.83,15235.82,375.31,179.24,3453.4,1822.29,421.2,151653.0,10781.5
5min,Normal,2,5,1,Trail_ATR3x,199,36.68,1627.39,1.1,18613.34,16985.95,254.98,134.81,4031.2,1712.0,644.76,151627.39,7221.1
5min,Normal,2,10,1,ATR1.5_RR2.0,222,36.94,1566.34,1.09,18976.42,17410.08,231.42,124.36,1830.86,1036.18,719.28,151566.34,6232.4
5min,Normal,1,5,1,FixedSL100_TP150,566,39.4,1411.25,1.05,28585.49,27174.24,128.19,79.23,1909.49,706.52,1833.84,151411.25,2515.0
5min,Normal,3,14,1,ATR2x_RR2.0,130,36.92,1197.97,1.08,16138.07,14940.1,336.21,182.2,2854.25,1170.48,421.2,151197.97,10239.2
5min,Normal,2,5,1,ATR2x_Trail3x,192,35.42,1173.62,1.07,17932.91,16759.29,263.72,135.16,3416.87,1688.56,622.08,151173.62,8796.9
2min,HA,4,14,3,FixedSL50,199,12.06,1086.71,1.04,29004.72,27918.01,1208.53,159.53,7643.77,1685.64,1934.28,151086.71,6008.4
5min,Normal,3,10,1,ATR2x_RR2.0,111,36.04,1034.1,1.08,13510.5,12476.4,337.76,175.72,2428.61,1179.46,359.64,151034.1,9416.2
5min,Normal,2,14,1,FixedSL150_TP300,234,37.18,1010.85,1.06,19085.13,18074.28,219.37,122.95,2928.35,1222.07,758.16,151010.85,6302.6
5min,Normal,2,10,1,ATR1.5_RR1.5,223,40.36,925.67,1.05,18011.73,17086.06,200.13,128.47,1873.55,998.64,722.52,150925.67,5628.7
5min,Normal,2,10,1,FixedSL100_TP150,241,42.32,922.15,1.07,14657.52,13735.37,143.7,98.82,1392.83,750.88,780.84,150922.15,4453.9
2min,Normal,2,20,1,FixedSL100_TP150,677,39.0,908.55,1.03,33967.64,33059.09,128.67,80.05,2427.36,1302.67,2193.48,150908.55,2453.7
5min,Normal,1,20,1,ATR1.5_RR2.0,566,35.69,883.58,1.03,35713.14,34829.56,176.8,95.69,4150.0,1222.74,1833.84,150883.58,3569.8
2min,Normal,2,20,1,FixedSL100_TP200,675,36.74,880.04,1.03,34806.5,33926.45,140.35,79.45,2630.96,1478.67,2187.0,150880.04,2137.4
3min,HA,1,20,1,ATR1.5_RR1.5,637,38.3,830.73,1.03,31682.74,30852.01,129.85,78.5,2069.58,1093.98,2063.88,150830.73,2151.2
5min,Normal,3,10,1,OppositeOnly,129,37.21,823.03,1.05,17663.47,16840.43,367.99,207.91,3022.53,1139.4,417.96,150823.03,19967.4
5min,Normal,2,14,1,FixedSL100_TP150,245,42.04,786.2,1.06,14803.28,14017.08,143.72,98.71,1836.07,750.88,793.8,150786.2,4386.1
2min,Normal,2,14,1,FixedSL100_TP150,669,38.57,760.48,1.02,33220.09,32459.61,128.76,78.98,2150.03,1507.43,2167.56,150760.48,2454.3
5min,Normal,2,10,1,FixedSL100_TP200,237,35.02,716.12,1.05,15314.08,14597.97,184.51,94.79,1390.75,950.88,767.88,150716.12,5139.2
5min,HA,1,5,1,FixedSL100_TP150,413,40.92,702.9,1.03,22014.44,21311.54,130.26,87.34,2189.99,737.12,1338.12,150702.9,3592.0
2min,Normal,2,14,1,FixedSL100_TP200,668,36.38,673.71,1.02,33837.68,33163.97,139.25,78.03,2914.03,1733.43,2164.32,150673.71,2411.5
5min,Normal,1,14,1,ATR1.5_RR1.5,578,38.24,656.52,1.02,35745.34,35088.82,161.74,98.29,3784.74,1060.53,1872.72,150656.52,2951.7
5min,Normal,2,14,1,FixedSL100_TP200,242,35.12,622.92,1.04,15529.6,14906.68,182.7,94.95,1773.15,950.88,784.08,150622.92,4984.7
5min,Normal,1,20,1,FixedSL100_TP200,567,35.98,579.96,1.02,29307.04,28727.08,143.66,79.14,2294.59,784.18,1837.08,150579.96,3061.9
2min,HA,3,14,1,FixedSL100_TP150,300,40.67,554.98,1.03,17255.71,16700.73,141.44,93.82,1815.36,1010.04,972.0,150554.98,3120.0
1min,HA,4,5,1,FixedSL100_TP200,370,35.95,537.24,1.03,20299.07,19761.84,152.62,83.38,1404.15,624.75,1198.8,150537.24,3608.8
5min,Normal,3,5,1,ATR2x_RR2.5,115,32.17,425.3,1.03,13803.19,13377.89,373.06,171.51,2246.76,1522.02,372.6,150425.3,9777.4
5min,HA,2,5,1,ATR2x_RR2.0,189,34.39,376.76,1.02,17846.11,17469.34,274.56,140.88,2859.49,1041.62,612.36,150376.76,8325.4
5min,Normal,3,5,1,ATR2x_RR2.0,115,35.65,375.77,1.03,13473.03,13097.27,328.61,176.99,2733.48,1522.02,372.6,150375.77,9073.0
2min,HA,4,14,1,FixedSL50,199,12.06,362.24,1.04,9668.24,9306.0,402.84,53.18,2547.92,561.88,644.76,150362.24,6008.4
5min,HA,1,5,1,FixedSL100_TP200,410,35.85,299.62,1.01,22673.72,22374.11,154.24,85.07,2108.67,834.76,1328.4,150299.62,3946.1
2min,Normal,4,10,3,ATR1.5_RR1.5,239,43.1,242.84,1.01,37364.3,37121.46,362.76,272.95,6028.01,1988.62,2323.08,150242.84,3431.8
5min,Normal,2,10,1,ATR2x_RR2.0,223,37.22,241.29,1.01,20711.24,20469.95,249.53,146.21,1826.71,956.87,722.52,150241.29,7933.2
3min,HA,1,20,1,FixedSL100_TP200,676,34.91,218.75,1.01,31146.37,30927.62,131.98,70.29,2039.76,1341.08,2190.24,150218.75,2223.1
5min,Normal,3,10,1,ATR_SL_2x,110,30.0,160.9,1.01,12976.07,12815.17,393.21,166.43,2737.32,1143.97,356.4,150160.9,15190.9
2min,HA,3,5,1,FixedSL100_TP150,294,39.46,154.43,1.01,16254.15,16099.72,140.12,90.45,2630.56,1105.12,952.56,150154.43,3901.6
5min,Normal,2,14,1,ATR1.5_RR1.5,217,39.63,121.05,1.01,17918.12,17797.07,208.35,135.86,2814.92,723.21,703.08,150121.05,5841.0
5min,Normal,2,10,1,Trail_ATR3x,193,40.93,109.3,1.01,16878.32,16769.02,213.65,147.1,4003.27,1629.21,625.32,150109.3,8072.0
2min,HA,3,14,1,FixedSL150_TP300,302,34.44,84.5,1.0,22159.03,22074.53,213.07,111.49,2607.25,1350.52,978.48,150084.5,5429.8
2min,Normal,4,10,1,ATR1.5_RR1.5,239,43.1,80.95,1.01,12454.77,12373.82,120.92,90.98,2009.34,662.87,774.36,150080.95,3431.8
5min,Normal,3,5,1,FixedSL100_TP150,124,41.13,39.24,1.01,7433.76,7394.52,145.76,101.29,1446.12,688.16,401.76,150039.24,5247.6
5min,Normal,3,10,3,FixedSL100_TP150,121,41.32,35.87,1.0,21864.0,21828.13,437.28,307.44,4754.4,1563.6,1176.12,150035.87,5442.1
1min,Normal,4,20,1,FixedSL100_TP150,439,39.18,35.6,1.0,22595.7,22560.1,131.37,84.49,2024.48,689.04,1422.36,150035.6,2895.9
3min,Normal,2,20,1,ATR1.5_RR2.0,360,34.17,13.4,1.0,22191.49,22178.09,180.42,93.58,2287.54,745.29,1166.4,150013.4,3482.5
5min,Normal,3,10,1,FixedSL100_TP150,121,41.32,11.96,1.0,7288.0,7276.04,145.76,102.48,1584.8,521.2,392.04,150011.96,5442.1
5min,Normal,3,10,1,ATR1.5_RR1.5,122,42.62,0.36,1.0,10111.86,10111.5,194.46,144.45,1725.74,1145.73,395.28,150000.36,6206.6
