Timeframe,Strategy,Params,Exit,Contracts,ATR_Period,Trades,Wins,Losses,Win_Rate,PnL,Profit_Factor,Avg_Win,Avg_Loss,Max_DD,Max_Daily_DD,Costs,Final_Equity
2min,RSI_Reversion,rsi_period=9|rsi_buy=25|rsi_sell=75,SL100_TP300,5,5,252,96,156,38.1,27982.68,1.35,1133.7,518.28,6311.0,2415.81,4082.4,177982.68
2min,RSI_Reversion,rsi_period=9|rsi_buy=25|rsi_sell=75,SL100_TP300,5,10,252,96,156,38.1,27982.68,1.35,1133.7,518.28,6311.0,2415.81,4082.4,177982.68
2min,RSI_Reversion,rsi_period=9|rsi_buy=25|rsi_sell=75,SL100_TP300,5,14,252,96,156,38.1,27982.68,1.35,1133.7,518.28,6311.0,2415.81,4082.4,177982.68
5min,Bollinger,bb_period=15|bb_std=2.0,SL100_TP200,5,5,376,177,199,47.07,25503.87,1.27,686.2,482.18,7293.78,2475.78,6091.2,175503.87
5min,Bollinger,bb_period=15|bb_std=2.0,SL100_TP200,5,10,376,177,199,47.07,25503.87,1.27,686.2,482.18,7293.78,2475.78,6091.2,175503.87
5min,Bollinger,bb_period=15|bb_std=2.0,SL100_TP200,5,14,376,177,199,47.07,25503.87,1.27,686.2,482.18,7293.78,2475.78,6091.2,175503.87
5min,Bollinger,bb_period=20|bb_std=2.5,SL100_TP200,5,5,166,77,89,46.39,23215.8,1.5,903.93,521.2,5339.2,2148.4,2689.2,173215.8
5min,Bollinger,bb_period=20|bb_std=2.5,SL100_TP200,5,10,166,77,89,46.39,23215.8,1.5,903.93,521.2,5339.2,2148.4,2689.2,173215.8
5min,Bollinger,bb_period=20|bb_std=2.5,SL100_TP200,5,14,166,77,89,46.39,23215.8,1.5,903.93,521.2,5339.2,2148.4,2689.2,173215.8
1min,RSI_Reversion,rsi_period=14|rsi_buy=30|rsi_sell=70,SL75_TP150,5,5,361,153,208,42.38,22996.78,1.28,688.93,396.2,3881.0,2377.2,5848.2,172996.78
1min,RSI_Reversion,rsi_period=14|rsi_buy=30|rsi_sell=70,SL75_TP150,5,10,361,153,208,42.38,22996.78,1.28,688.93,396.2,3881.0,2377.2,5848.2,172996.78
1min,RSI_Reversion,rsi_period=14|rsi_buy=30|rsi_sell=70,SL75_TP150,5,14,361,153,208,42.38,22996.78,1.28,688.93,396.2,3881.0,2377.2,5848.2,172996.78
5min,RSI_Reversion,rsi_period=14|rsi_buy=30|rsi_sell=70,SL100_TP300,5,5,98,37,61,37.76,22582.39,1.71,1469.61,521.2,3212.0,1563.6,1587.6,172582.39
5min,RSI_Reversion,rsi_period=14|rsi_buy=30|rsi_sell=70,SL100_TP300,5,10,98,37,61,37.76,22582.39,1.71,1469.61,521.2,3212.0,1563.6,1587.6,172582.39
5min,RSI_Reversion,rsi_period=14|rsi_buy=30|rsi_sell=70,SL100_TP300,5,14,98,37,61,37.76,22582.39,1.71,1469.61,521.2,3212.0,1563.6,1587.6,172582.39
5min,VWAP_Reversion,vwap_dist=2.5,SL100_TP300,5,14,186,59,127,31.72,21056.8,1.32,1478.8,521.2,7987.6,2254.4,3013.2,171056.8
5min,Bollinger,bb_period=15|bb_std=2.0,SL100_TP200,3,5,454,219,235,48.24,21015.22,1.31,410.25,292.89,4287.84,2105.28,4412.88,171015.22
5min,Bollinger,bb_period=15|bb_std=2.0,SL100_TP200,3,10,454,219,235,48.24,21015.22,1.31,410.25,292.89,4287.84,2105.28,4412.88,171015.22
5min,Bollinger,bb_period=15|bb_std=2.0,SL100_TP200,3,14,454,219,235,48.24,21015.22,1.31,410.25,292.89,4287.84,2105.28,4412.88,171015.22
